nick,civ,wins,losses,games,winrate
M1k3,Sicilians,9,7,16,0.56
M1k3,Slavs,13,8,21,0.62
M1k3,Spanish,8,3,11,0.73
M1k3,Tatars,9,9,18,0.50
M1k3,Teutons,7,7,14,0.50
M1k3,Tupi,1,0,1,1.00
M1k3,Turks,8,12,20,0.40
M1k3,Vietnamese,7,7,14,0.50
M1k3,Vikings,7,10,17,0.41
M1k3,Wei,5,3,8,0.62
M1k3,Wu,5,4,9,0.56
MuttonKuska,Aztecs,4,3,7,0.57
MuttonKuska,Bengalis,3,5,8,0.38
MuttonKuska,Berbers,1,3,4,0.25
MuttonKuska,Bohemians,7,1,8,0.88
MuttonKuska,Britons,3,3,6,0.50
MuttonKuska,Bulgarians,3,3,6,0.50
MuttonKuska,Burgundians,3,5,8,0.38
MuttonKuska,Burmese,2,3,5,0.40
MuttonKuska,Byzantines,2,6,8,0.25
MuttonKuska,Celts,4,4,8,0.50
MuttonKuska,Chinese,2,2,4,0.50
MuttonKuska,Cumans,2,4,6,0.33
MuttonKuska,Dravidians,1,4,5,0.20
MuttonKuska,Ethiopians,3,3,6,0.50
MuttonKuska,Franks,5,4,9,0.56
MuttonKuska,Goths,5,3,8,0.62
MuttonKuska,Gurjaras,4,6,10,0.40
MuttonKuska,Hindustanis,1,1,2,0.50
MuttonKuska,Huns,9,3,12,0.75
MuttonKuska,Inca,3,4,7,0.43
MuttonKuska,Italians,2,3,5,0.40
MuttonKuska,Japanese,4,2,6,0.67
MuttonKuska,Jurchens,4,6,10,0.40
MuttonKuska,Khitans,5,0,5,1.00
MuttonKuska,Khmer,1,1,2,0.50
MuttonKuska,Koreans,5,2,7,0.71
MuttonKuska,Lithuanians,3,8,11,0.27
MuttonKuska,Magyars,4,3,7,0.57
MuttonKuska,Malay,7,3,10,0.70
MuttonKuska,Malians,3,5,8,0.38
MuttonKuska,Maya,5,6,11,0.45
MuttonKuska,Mongols,0,3,3,0.00
MuttonKuska,Muisca,2,0,2,1.00
MuttonKuska,Persians,4,2,6,0.67
MuttonKuska,Poles,5,3,8,0.62
MuttonKuska,Portuguese,3,5,8,0.38
MuttonKuska,Romans,4,4,8,0.50
MuttonKuska,Saracens,5,4,9,0.56
MuttonKuska,Shu,3,3,6,0.50
MuttonKuska,Sicilians,1,3,4,0.25
MuttonKuska,Slavs,1,7,8,0.12
MuttonKuska,Spanish,6,5,11,0.55
MuttonKuska,Tatars,3,3,6,0.50
MuttonKuska,Teutons,1,2,3,0.33
MuttonKuska,Turks,4,7,11,0.36
MuttonKuska,Vietnamese,3,3,6,0.50
MuttonKuska,Vikings,2,1,3,0.67
MuttonKuska,Wei,4,4,8,0.50
MuttonKuska,Wu,1,3,4,0.25
newisyou,Armenians,0,2,2,0.00
newisyou,Aztecs,0,2,2,0.00
newisyou,Bengalis,1,1,2,0.50
newisyou,Berbers,2,2,4,0.50
newisyou,Bohemians,1,3,4,0.25
newisyou,Britons,1,1,2,0.50
newisyou,Bulgarians,2,2,4,0.50
newisyou,Burgundians,2,3,5,0.40
newisyou,Burmese,2,2,4,0.50
newisyou,Byzantines,1,3,4,0.25
newisyou,Celts,5,2,7,0.71
newisyou,Chinese,2,2,4,0.50
newisyou,Cumans,4,5,9,0.44
newisyou,Dravidians,0,6,6,0.00
newisyou,Ethiopians,3,3,6,0.50
newisyou,Franks,1,2,3,0.33
newisyou,Georgians,1,0,1,1.00
newisyou,Goths,0,1,1,0.00
newisyou,Gurjaras,2,2,4,0.50
newisyou,Hindustanis,2,1,3,0.67
newisyou,Huns,1,2,3,0.33
newisyou,Inca,1,2,3,0.33
newisyou,Italians,3,0,3,1.00
newisyou,Japanese,0,2,2,0.00
newisyou,Jurchens,4,5,9,0.44
newisyou,Khitans,0,3,3,0.00
newisyou,Khmer,1,1,2,0.50
newisyou,Koreans,1,2,3,0.33
newisyou,Lithuanians,1,1,2,0.50
newisyou,Magyars,3,2,5,0.60
newisyou,Malay,2,0,2,1.00
newisyou,Malians,5,1,6,0.83
newisyou,Maya,3,1,4,0.75
newisyou,Mongols,3,0,3,1.00
newisyou,Persians,2,3,5,0.40
newisyou,Portuguese,1,5,6,0.17
newisyou,Romans,1,2,3,0.33
newisyou,Saracens,1,0,1,1.00
newisyou,Shu,1,2,3,0.33
newisyou,Sicilians,1,2,3,0.33
newisyou,Slavs,2,1,3,0.67
newisyou,Spanish,3,0,3,1.00
newisyou,Teutons,0,1,1,0.00
newisyou,Turks,1,5,6,0.17
newisyou,Vietnamese,2,4,6,0.33
newisyou,Vikings,2,3,5,0.40
newisyou,Wei,6,3,9,0.67
newisyou,Wu,2,1,3,0.67
ninjavarier,Armenians,1,3,4,0.25
ninjavarier,Aztecs,2,1,3,0.67
ninjavarier,Bengalis,1,0,1,1.00
ninjavarier,Berbers,1,2,3,0.33
ninjavarier,Bohemians,2,3,5,0.40
ninjavarier,Britons,1,4,5,0.20
ninjavarier,Bulgarians,1,1,2,0.50
ninjavarier,Burgundians,1,2,3,0.33
ninjavarier,Burmese,3,3,6,0.50
ninjavarier,Byzantines,0,1,1,0.00
ninjavarier,Celts,3,0,3,1.00
ninjavarier,Chinese,0,2,2,0.00
ninjavarier,Cumans,0,3,3,0.00
ninjavarier,Dravidians,1,0,1,1.00
ninjavarier,Ethiopians,1,1,2,0.50
ninjavarier,Georgians,2,2,4,0.50
